,UNIXTIME,TotalV,DragA_Smooth,Rho,DragForce,CoeffDrag
0,0.0,18.973665961010276,123.78717614766926,0.021051744901705194,87.25815577977193,154.9625008430592
1,0.1,37.48332962798263,135.53653911360138,0.02103791478351728,95.5403363407968,43.502972849887136
2,0.2,60.13318551349163,148.32775924068207,0.021014864586537424,104.55692685685065,18.51863528227125
3,0.3,75.4254598925323,163.12386208969858,0.02099181438955756,114.98676852148998,12.9590493568274
4,0.4,90.35485598461214,,0.020968764192577705,,
5,0.5,102.48902380255166,,0.02094801901529583,,
6,0.6,112.53888216967503,,0.020938798936503886,,
7,0.7,122.58874336577564,,0.020931883877409928,,
8,0.8,147.05441169852742,,0.02090883368043007,,
9,0.9,176.22996340009834,,0.020878868424356253,,
10,1.0,195.7396229688818,,0.020846598148584448,,
11,1.1,218.07338214463496,,0.02081432787281265,,
12,1.2,241.17421089328766,,0.020782057597040847,,
13,1.3,259.8557292037257,,0.02072904214398717,,
14,1.4,282.8780656042458,,0.020696771868215367,,
15,1.4,282.8780656042458,,0.020662196572745577,,
16,1.6,327.1849629796577,,0.02062762127727579,,
17,1.7,364.59429507330475,,0.020579215863618085,,
18,1.8,392.2269751049767,,0.020530810449960385,,
19,1.9,416.70733134899365,,0.020480100016604694,,
20,2.0,442.6657881517387,,0.020431694602946988,,
21,2.1,465.98390530145997,,0.020383289189289285,,
22,2.2,490.5394989193021,,0.020330273736235607,,
23,2.4,523.0831673835434,,0.020279563302879916,,
24,2.5,534.2181202467771,,0.020226547849826245,,
25,2.6,536.7774212837198,,0.020171227377074583,,
26,2.7,542.3218601531751,,0.02011590690432292,,
27,2.8,552.2771043597588,224.47588480330344,0.020062891451269247,158.23409447197082,0.3480195575677961
28,2.9,563.6736644548865,225.1841435463695,0.020005265958819598,158.73334935166142,0.3361085404492543
29,3.0,567.1014018674261,224.86195641482155,0.01994764046636995,158.50623814523635,0.3325405199390775
30,3.1,563.0506193940292,219.52814438421518,0.019894625013316274,154.74640925543713,0.3302182928193423
31,3.2,570.6356105256664,213.94909068080588,0.019823169402678715,150.81370837069392,0.3144569315182372
32,3.3,572.3722564904766,209.36286426824307,0.01975171379204115,147.58085605753251,0.3069582270478867
33,3.4,594.5300665231322,206.05544401610112,0.019687173240497544,145.2494401502313,0.28092775279179855
34,3.5,692.9884558923042,203.29355732242428,0.019613412610161994,143.3025733837139,0.20476702042029085
35,3.6,727.2001100109928,199.88195727981125,0.01955348209801436,140.8977206579236,0.18339317688870713
36,3.7,743.2825842167971,199.6290087283954,0.019479721467678814,140.7194160484269,0.17598455472822175
37,3.8,756.8830821203496,198.6297511802354,0.01940826585704125,140.01503475857953,0.16948900504327055
38,4.2,794.13474927118,197.53181999363073,0.01932989518730973,139.2410979623969,0.15373074300430692
39,4.3,802.9458263170685,194.61545588349205,0.019249219497880225,137.1853393470663,0.14877613541653084
40,4.4,811.4708867236088,185.2524403569058,0.019189288985732588,130.5853061868247,0.13909154406836133
41,4.5,819.3289937503738,172.72470950991772,0.01911552835539704,121.75445048890093,0.1277006410850413
42,4.6,827.4841388207994,157.19488010931013,0.01906020788264538,110.80740156797752,0.11427019487924092
43,4.7,831.8954261203749,122.7894973055851,0.018988752272007817,86.55488732717463,0.08864798735466721
44,4.8,839.7648480378301,104.0951483142131,0.01893112677955817,73.37715383930012,0.0739741871604677
45,4.9,845.7919365896083,87.20466016737718,0.018861976188618592,61.470970244362775,0.06131503507648073
46,5.0,848.9534734012224,72.1776681704272,0.018799740656772975,50.87837374626472,0.05053878190147435
47,5.1,851.4563993534842,63.66842446165864,0.018751335243115272,44.880168308392705,0.04443330697125331
48,5.2,856.1687917694735,57.325150934593864,0.018693709750665623,40.4087653181667,0.03968921280349474
49,5.3,858.3763743253888,52.08852671283536,0.018663744494591808,36.717444566514395,0.03593596753783369
50,5.4,857.7225658684747,47.000099842178884,0.018589983864256258,33.13058881641592,0.032603757606702706
51,5.5,855.1643116968809,41.58907341313521,0.018546188489994526,29.316331138296608,0.029091559227949468
52,5.6,848.8015080099705,37.2545369219895,0.018509308174826752,26.260896220496196,0.026504417156176702
53,5.7,845.302904289344,33.227580049012666,0.018458597741471062,23.422275605050064,0.02390104256706945
54,5.8,840.8810855287446,29.90662328502554,0.018412497347511343,21.081317747636884,0.021793504660467186
55,5.9,834.8652585896721,27.12209976900854,0.018373312012645585,19.11849417984501,0.02009299337721468
56,6.0,830.4432551354728,25.309801672080386,0.01833643169747781,17.840996828483718,0.0189887139821493
57,6.1,825.070300035094,23.47284888940994,0.018308771461101978,16.546120274557566,0.01786760122665726
58,6.2,820.0054877865148,22.87268581393266,0.018248840948954344,16.12306253333572,0.017684383359107173
59,6.3,814.3003131523407,23.075726643585984,0.018205045574692613,16.26618695781091,0.018135768846473038
60,6.4,809.5492573030995,23.96203456653083,0.01817277529892081,16.890949531899434,0.01908786859101048
61,6.5,802.5883128977147,24.839757423371836,0.018119759845867136,17.509660452991408,0.020190673712508253
62,6.6,798.7915873367721,25.33847056260461,0.018101319688283244,17.861205662655777,0.020813482595293198
63,6.7,794.3664141943565,25.8168153136418,0.018050609254927557,18.198393100816958,0.02150357239060146
64,6.8,787.7239364142745,26.167095825846754,0.01800911890036381,18.445307461833938,0.022215522629923795
65,6.9,781.3993857177007,26.029927106710744,0.017974543604894023,18.348616594209627,0.02250145021656877
66,7.0,775.7119310671972,26.087002632883213,0.01793074823063229,18.388849397872814,0.022938572470528752
67,7.1,771.9229236134913,26.35221128631298,0.01788695285637056,18.575796210259195,0.02345710356335331
