Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages,DeltaT_x,VERTA_x,VERTASmooth_x,UTCTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet),DeltaT_y,EWFeet,NSFeet,EWVel,NSVel,EWVelSmooth,NSVelSmooth,Zenith,TotalV,VERTA_y,HORZA,VERTASmooth_y,HORZASmooth,VERTA_NO_GRAVITY,DragA,DragA_Smooth
1.8,532.1226,991.3,365.7619,82.94, -,8.770906,0.050000000000000044,160.95200000000077,168.84371428571436,Apr 13 2025 16:59:19.300 UTC,705.8,0.00022000000000588216,-0.0002499999999940883,10.0,3.0,118.0,378.0,-30.0,3.0,0.0,4.0,4.0,-32.0,3.703,459.8,True,False,False,107.6855,0.10000000000000009,-79.74604442024435,80.20478400214445,-63.79683551262369,109.37016000881148,-68.35375235761909,88.5377485736276,17.33676167218198,395.98989886106943,139.9999999999999,69.99999999999994,177.14285714285708,71.42857142857139,209.3428571428571,220.73611357622175,207.89576014321344
1.85,557.1396,990.4,371.2381,82.94, -,8.770906,0.050000000000000044,109.52399999999888,191.56457142857153,Apr 13 2025 16:59:19.400 UTC,744.5,0.0002500000000011937,-0.00027000000000043656,10.0,3.0,121.0,387.0,-31.0,3.0,0.0,2.0,6.0,-32.0,3.702,498.5,True,False,False,119.5368,0.09999999999999987,-86.12572797603976,91.1418000004352,-63.79683555795418,109.37015998290761,-86.58141965341588,88.5377485736276,17.362454205056338,405.47503005733904,90.00000000000011,30.00000000000004,199.99999999999994,104.28571428571422,232.19999999999993,234.12996390893662,199.161485960713
1.9,579.3947,989.6,381.9524,82.94, -,8.770906,0.04999999999999982,214.2860000000015,169.52399999999997,Apr 13 2025 16:59:19.400 UTC,744.5,0.0002500000000011937,-0.00027000000000043656,10.0,3.0,121.0,387.0,-31.0,3.0,0.0,2.0,6.0,-32.0,3.702,498.5,True,False,False,119.5368,0.09999999999999987,-86.12572797603976,91.1418000004352,-63.79683555795418,109.37015998290761,-86.58141965341588,88.5377485736276,17.362454205056338,405.47503005733904,90.00000000000011,30.00000000000004,199.99999999999994,104.28571428571422,232.19999999999993,234.12996390893662,199.161485960713
1.95,601.6627,988.8,392.6667,82.94, -,8.770906,0.050000000000000044,214.2859999999994,185.03399999999988,Apr 13 2025 16:59:19.400 UTC,744.5,0.0002500000000011937,-0.00027000000000043656,10.0,3.0,121.0,387.0,-31.0,3.0,0.0,2.0,6.0,-32.0,3.702,498.5,True,False,False,119.5368,0.09999999999999987,-86.12572797603976,91.1418000004352,-63.79683555795418,109.37015998290761,-86.58141965341588,88.5377485736276,17.362454205056338,405.47503005733904,90.00000000000011,30.00000000000004,199.99999999999994,104.28571428571422,232.19999999999993,234.12996390893662,199.161485960713
2.0,626.7309,987.9,403.4286,82.94, -,8.770906,0.050000000000000044,215.2380000000003,185.44228571428553,Apr 13 2025 16:59:19.500 UTC,787.9,0.00027000000000043656,-0.0002999999999957481,11.0,3.0,126.0,421.0,-49.0,3.0,0.0,2.0,6.0,-32.0,3.702,541.9,True,False,False,131.9486,0.10000000000000009,-95.69525330519981,98.43314400015916,-95.6952532916005,72.91343999723956,-100.25217013012046,88.53774857362762,16.661779693008015,439.45079360492684,339.9999999999997,49.99999999999996,208.5714285714286,101.4285714285714,240.7714285714286,245.908277242403,190.96233761941377
2.05,651.8194,987.0,406.381,82.94, -,8.770906,0.04999999999999982,59.047999999999305,208.4354285714283,Apr 13 2025 16:59:19.500 UTC,787.9,0.00027000000000043656,-0.0002999999999957481,11.0,3.0,126.0,421.0,-49.0,3.0,0.0,2.0,6.0,-32.0,3.702,541.9,True,False,False,131.9486,0.10000000000000009,-95.69525330519981,98.43314400015916,-95.6952532916005,72.91343999723956,-100.25217013012046,88.53774857362762,16.661779693008015,439.45079360492684,339.9999999999997,49.99999999999996,208.5714285714286,101.4285714285714,240.7714285714286,245.908277242403,190.96233761941377
2.1,679.7164,986.0,422.4762,82.94, -,8.770906,0.050000000000000266,321.903999999999,186.12228571428525,Apr 13 2025 16:59:19.600 UTC,833.0,0.00029000000000678483,-0.0003399999999942338,12.0,3.0,141.0,445.0,-53.0,3.0,0.0,2.0,7.0,-32.0,3.702,587.0,True,False,False,145.9706,0.10000000000000009,-108.45462041225758,105.72448800247354,-127.59367107057759,72.91344002314368,-118.47983742591724,88.53774856992705,17.58100992352135,466.80402740336336,239.9999999999998,149.99999999999986,222.85714285714283,107.1428571428571,255.05714285714282,295.89549865188707,183.15903329957712
2.15,704.8441,985.1,430.6667,82.94, -,8.770906,0.04999999999999982,163.8100000000003,186.66657142857125,Apr 13 2025 16:59:19.600 UTC,833.0,0.00029000000000678483,-0.0003399999999942338,12.0,3.0,141.0,445.0,-53.0,3.0,0.0,2.0,7.0,-32.0,3.702,587.0,True,False,False,145.9706,0.10000000000000009,-108.45462041225758,105.72448800247354,-127.59367107057759,72.91344002314368,-118.47983742591724,88.53774856992705,17.58100992352135,466.80402740336336,239.9999999999998,149.99999999999986,222.85714285714283,107.1428571428571,255.05714285714282,295.89549865188707,183.15903329957712
2.2,735.5793,984.0,444.1905,82.94, -,8.770906,0.050000000000000266,270.47599999999846,171.83657142857106,Apr 13 2025 16:59:19.700 UTC,881.9,0.0003100000000060277,-0.0003799999999927195,11.0,3.0,173.0,476.0,-64.0,3.0,0.0,3.0,7.0,-32.0,3.702,635.9,True,False,False,161.6779,0.10000000000000009,-121.21398751931535,113.0158320021975,-127.59367107057759,72.91343999723956,-132.15058790262168,83.32964571483161,19.973441242046803,506.4632267006164,309.9999999999997,319.9999999999997,210.0,87.14285714285711,242.2,401.3238592458712,175.70158482180818
2.25,757.95,983.2,447.0952,82.94, -,8.770906,0.04999999999999982,58.09400000000003,179.31971428571413,Apr 13 2025 16:59:19.700 UTC,881.9,0.0003100000000060277,-0.0003799999999927195,11.0,3.0,173.0,476.0,-64.0,3.0,0.0,3.0,7.0,-32.0,3.702,635.9,True,False,False,161.6779,0.10000000000000009,-121.21398751931535,113.0158320021975,-127.59367107057759,72.91343999723956,-132.15058790262168,83.32964571483161,19.973441242046803,506.4632267006164,309.9999999999997,319.9999999999997,210.0,87.14285714285711,242.2,401.3238592458712,175.70158482180818
