UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet)
Apr 13 2025 16:59:13.700 UTC,1744577953.7,247.3,34.05209,-80.41969,17,3,0,0,99,3,0,8,8,-49,3.703,1.3,FALSE,FALSE,FALSE,0.3118
Apr 13 2025 16:59:13.800 UTC,1744577953.8,247.3,34.05209,-80.41969,17,3,0,0,-154,3,0,8,8,-49,3.703,1.3,FALSE,FALSE,FALSE,0.3118
Apr 13 2025 16:59:13.900 UTC,1744577953.9,247.2,34.05209,-80.41969,17,3,0,0,-55,3,0,7,9,-49,3.703,1.2,FALSE,FALSE,FALSE,0.3118
Apr 13 2025 16:59:14.000 UTC,1744577954.0,247.2,34.05209,-80.41969,17,3,0,0,-21,3,0,7,9,-49,3.703,1.2,FALSE,FALSE,FALSE,0.3118
Apr 13 2025 16:59:14.100 UTC,1744577954.1,247.1,34.05209,-80.41969,17,3,0,0,100,3,0,7,9,-49,3.703,1.1,FALSE,FALSE,FALSE,0.3118
Apr 13 2025 16:59:14.200 UTC,1744577954.2,247.1,34.05209,-80.41969,17,3,0,0,-123,3,0,7,9,-49,3.703,1.1,FALSE,FALSE,FALSE,0.3118
Apr 13 2025 16:59:14.300 UTC,1744577954.3,247.1,34.05209,-80.41969,16,3,0,0,-71,3,0,7,9,-49,3.703,1.1,FALSE,FALSE,FALSE,0.3118
Apr 13 2025 16:59:14.400 UTC,1744577954.4,247.0,34.05209,-80.41969,16,3,0,0,14,3,0,7,9,-49,3.703,1.0,FALSE,FALSE,FALSE,0.3118
Apr 13 2025 16:59:14.500 UTC,1744577954.5,247.0,34.05209,-80.41969,16,3,0,0,-172,3,0,7,9,-49,3.703,1.0,FALSE,FALSE,FALSE,0.3118
Apr 13 2025 16:59:14.600 UTC,1744577954.6,247.0,34.05209,-80.41969,16,3,0,0,56,3,0,7,9,-49,3.703,1.0,FALSE,FALSE,FALSE,0.3118
